date,price,type,bedrooms
2012-03-06,608000,house,4
2012-03-06,615000,house,3
2012-03-06,620000,house,4
2012-03-07,417000,house,3
2012-03-07,454000,house,3
2012-03-10,398000,house,3
2012-03-10,435000,house,4
2012-03-10,455000,house,3
2012-03-10,475000,house,4
2012-03-10,475000,house,3
2012-03-10,478000,house,4
2012-03-10,490000,house,4
2012-03-10,647000,house,4
2012-03-10,675000,house,3
2012-03-11,308000,house,2
2012-03-11,365000,house,3
2012-03-11,376000,house,3
2012-03-11,398000,house,3
2012-03-11,550000,house,3
2012-03-11,759000,house,4
2012-03-11,759000,house,4
2012-03-12,359950,house,3
2012-03-12,375000,house,4
2012-03-12,380000,house,4
2012-03-12,440000,house,3
2012-03-12,445000,house,4
2012-03-12,480000,house,3
2012-03-12,517500,house,3
2012-03-13,295000,house,3
2012-03-13,335000,house,3
2012-03-13,353000,house,3
2012-03-13,453500,house,4
2012-03-13,715000,house,4
2012-03-13,858000,house,5
2012-03-14,500000,house,5
2012-03-16,392500,house,3
2012-03-16,397500,house,3
2012-03-16,690000,house,5
2012-03-17,352000,house,3
2012-03-17,390000,house,3
2012-03-17,420000,house,3
2012-03-17,437500,house,4
2012-03-17,461000,house,4
2012-03-17,511000,house,4
2012-03-17,515000,house,4
2012-03-17,580000,house,4
2012-03-17,1015000,house,4
2012-03-18,370000,house,3
2012-03-18,400000,house,3
2012-03-18,400100,house,3
2012-03-18,475000,house,4
2012-03-18,485000,house,3
2012-03-18,645000,house,4
2012-03-18,670000,house,4
2012-03-19,370000,house,3
2012-03-19,372000,house,4
2012-03-19,374000,house,3
2012-03-19,375000,house,3
2012-03-19,393000,house,4
2012-03-19,395000,house,3
2012-03-19,395000,house,3
2012-03-19,430000,house,3
2012-03-19,430000,house,3
2012-03-19,485000,house,3
2012-03-20,370000,house,3
2012-03-20,415000,house,3
2012-03-20,470000,house,4
2012-03-20,575000,house,5
2012-03-20,595000,house,3
2012-03-20,825000,house,5
2012-03-22,438000,house,4
2012-03-23,360000,house,3
2012-03-23,409588,house,4
2012-03-23,422000,house,4
2012-03-23,423000,house,3
